,player_name,mins_played,Assists count,Assists count per Number of Minutes Played,percent_mark_90
0,Aaron Meijers,6170.95,14.0,0.0022686944473703403,1
1,Abdenasser El Khayati,6106.066666666666,106.0,0.017359784258278655,1
2,Ben Rienstra,5531.1,71.0,0.012836506300735838,1
3,Brandley Kuwas,5567.6,92.0,0.016524175587326675,1
4,Bryan Linssen,5977.299999999999,183.0,0.030615829889749556,1
5,Daniel Høegh,6168.733333333333,45.0,0.007294852535906886,1
6,Daniel Schwaab,5813.916666666666,29.0,0.004988031590866743,1
7,Danny Bakker,5490.050000000001,40.0,0.0072859081429130865,1
8,Denzel Dumfries,6380.983333333334,54.0,0.008462645517018015,1
9,Django Warmerdam,4782.616666666667,34.0,0.007109079060625808,1
10,Donny van de Beek,5474.049999999998,98.0,0.017902649774846784,1
11,Fredrik Midtsjø,5415.983333333333,24.0,0.004431328259872785,1
12,Freek Heerkens,5085.466666666667,13.0,0.0025563042395322618,1
13,Guus Til,6038.7,117.0,0.019375031049729246,1
14,Gyrano Kerk,5757.050000000001,99.0,0.01719630713646746,1
15,Hakim Ziyech,5639.583333333332,217.0,0.03847801994828224,1
16,Hirving Lozano,4928.016666666667,143.0,0.029017759003791246,1
17,Jonas Svensson,5885.966666666666,22.0,0.003737703803963099,1
18,Jorrit Hendrix,5295.549999999999,34.0,0.006420485124302482,1
19,Jose Angel Esmoris Tasende,6386.4,38.0,0.0059501440561192534,1
20,Jurgen Mattheij,6013.716666666667,42.0,0.00698403372290569,1
21,Kik Pierie,5647.766666666666,8.0,0.0014164891136909576,1
22,Kingsley Ehizibue,5932.316666666667,32.0,0.005394182711082517,1
23,Kristoffer Peterson,5245.433333333335,126.0,0.02402089436525739,1
24,Lex Immers,6436.466666666666,68.0,0.010564802634986069,1
25,Luuk de Jong,5378.833333333334,220.0,0.04090106280791993,1
26,Martin Ødegaard,5282.283333333334,97.0,0.018363270933971103,1
27,Matthijs de Ligt,6128.75,76.0,0.012400571078931267,1
28,Mike te Wierik,6366.216666666667,27.0,0.004241137462595523,1
29,Mike van Duinen,5162.8,106.0,0.02053149453784768,1
30,Mikhail Rosheuvel,5352.9,38.0,0.007098955706252686,1
31,Moreno Rutten,5508.283333333334,17.0,0.0030862609948047936,1
32,Mounir El Allouchi,4845.583333333333,56.0,0.011556916091973792,1
33,Navarone Foor,5446.016666666666,44.0,0.00807929954921181,1
34,Nils Röseler,6304.4,23.0,0.0036482456696910097,1
35,Ralf Seuntjens,5239.5666666666675,47.0,0.008970207459904444,1
36,Ritsu Doan,5294.849999999999,89.0,0.01680878589572887,1
37,Ryan Koolwijk,5408.483333333334,34.0,0.006286420407446327,1
38,Samir Memisevic,5857.016666666666,32.0,0.005463532344396038,1
39,Sander van de Streek,5656.466666666665,126.0,0.022275389819321843,1
40,Sean Klaiber,6746.8,48.0,0.007114483903480168,1
41,Sheraldo Becker,5468.2333333333345,80.0,0.014629953610855423,1
42,Simon Gustafson,6214.866666666667,68.0,0.010941505851560238,1
43,Steven Berghuis,5412.650000000001,161.0,0.029745134084043858,1
44,Steven Bergwijn,5168.333333333333,123.0,0.02379877458884231,1
45,Teun Koopmeiners,5291.566666666667,45.0,0.008504097715232414,1
46,Thomas Lam,4793.616666666666,41.0,0.0085530410233053,1
47,Thomas Ouwejan,5506.849999999999,52.0,0.009442784895176009,1
48,Thulani Serero,5939.166666666666,10.0,0.0016837378981338573,1
49,Tim Breukers,5050.3166666666675,16.0,0.0031681181708077704,1
50,Tonny Vilhena,5805.533333333333,86.0,0.014813453831402227,1
51,Vito van Crooij,4997.683333333334,92.0,0.018408529285235488,1
52,Willem Janssen,6615.183333333334,69.0,0.010430549921770874,1
53,Younes Namli,5607.783333333333,124.0,0.02211212392299988,1
54,Yuki Kobayashi,4999.833333333332,27.0,0.005400180006000201,1
