Team_Name,Assists count per Number of Minutes Played
ADO Den Haag,0.011505938330328208
AZ,0.014717599897412342
Ajax,0.016531897296580163
Excelsior,0.00777827542340992
FC Groningen,0.009600023231689169
FC Twente,0.011815946524529287
FC Utrecht,0.011766813191822378
Feyenoord,0.012885331645460981
Heracles Almelo,0.009965039971828621
NAC Breda,0.010523252809038743
PEC Zwolle,0.012310939984525269
PSV,0.018747578180521293
Roda JC Kerkrade,0.007584834366167667
Sparta Rotterdam,0.008748803932342834
VVV-Venlo,0.007145320352964409
Vitesse,0.010675261593558234
Willem II,0.009597537088790157
sc Heerenveen,0.011948081878780869
